ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
JP002365,C=CCOCc1ccccc1,148.2,2.39,0.0,1.0,9.2,4.0,0.47,0.0
JP002363,O=CCOCc1ccccc1,150.2,1.4,0.0,2.0,26.3,4.0,0.48,0.0
JP002362,C[Si](C)(C)OC1=CCCC=C1,168.3,3.07,0.0,1.0,9.2,2.0,0.58,0.0
JP002361,C[Si](C)(C)CSC[Si](C)(C)C,206.5,3.47,0.0,0.0,0.0,4.0,0.63,0.0
JP002359,C=CC(=C)CC(C)O,112.2,1.5,1.0,1.0,20.2,3.0,0.55,1.0
JP002358,C=CC(=C)CBr,147.0,2.12,0.0,0.0,0.0,2.0,0.41,0.0
JP002357,C[Si](C)(C)CS,120.3,1.79,0.0,0.0,0.0,1.0,0.4,0.0
JP002356,C[Si](C)(C)c1c2ccccc2c([Si](C)(C)C)c2ccccc12,322.6,5.08,0.0,0.0,0.0,2.0,0.46,0.0
JP002355,C[Si](C)(C)c1c2ccccc2cc2ccccc12,250.4,4.54,0.0,0.0,0.0,1.0,0.44,0.0
JP002354,C[Si](C)(C)[Si](C)(C#Cc1ccccc1)[Si](C)(C)C,290.6,4.49,0.0,0.0,0.0,2.0,0.56,0.0
JP002353,C[Si](C)(c1ccccc1)c1ccccc1,212.4,2.51,0.0,0.0,0.0,2.0,0.67,0.0
JP002352,C[Ge](C)(c1ccccc1)c1ccccc1,256.9,2.51,0.0,0.0,0.0,2.0,0.72,0.0
JP002351,CC(C)(C)/C=C(\[Si](C)(C)C)[Si](C)(C)Cl,248.9,4.82,0.0,0.0,0.0,2.0,0.49,0.0
JP002350,C#C[Si](C)([Si](C)(C)C)[Si](C)(C)C,214.5,3.07,0.0,0.0,0.0,2.0,0.49,0.0
JP002342,ClCCl,84.9,1.42,0.0,0.0,0.0,0.0,0.39,0.0
JP002341,BrCBr,173.8,1.73,0.0,0.0,0.0,0.0,0.49,0.0
JP002340,ClC(Cl)Cl,119.4,1.99,0.0,0.0,0.0,0.0,0.43,0.0
JP002338,CC1CCCC/C1=N\C(C)(C)C,167.3,3.44,0.0,1.0,12.4,0.0,0.52,1.0
JP002337,C=CC(=C)CC(CC(C)C)OC,168.3,3.18,0.0,1.0,9.2,6.0,0.55,1.0
JP002336,CC(=O)CC(C)C1CCCCC1=O,182.3,2.36,0.0,2.0,34.1,3.0,0.67,2.0
JP002335,C=CCC(C)C1CCCCC1=O,166.3,2.96,0.0,1.0,17.1,3.0,0.59,2.0
JP002334,CC(C)C(=O)Cc1ccccc1,162.2,2.45,0.0,1.0,17.1,3.0,0.67,0.0
JP002333,C=C1C(=O)C(C(C)C)CCC1C,166.3,2.81,0.0,1.0,17.1,1.0,0.55,2.0
JP002332,C[Si](C)(C)Cc1ccccc1C=O,192.3,2.92,0.0,1.0,17.1,3.0,0.53,0.0
JP002331,COC(CC(=O)c1ccccc1)OC,194.2,1.88,0.0,3.0,35.5,5.0,0.53,0.0
JP002330,CCCCC(OC)C1CCCC1=O,184.3,2.56,0.0,2.0,26.3,5.0,0.66,2.0
JP002329,C=CCC(OC)c1ccccc1,162.2,2.95,0.0,1.0,9.2,4.0,0.62,1.0
JP002328,C[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)C,262.7,4.31,0.0,0.0,0.0,3.0,0.66,0.0
JP002327,C[Si](C)(C)OCCCCO[Si](C)(C)C,234.5,3.47,0.0,2.0,18.5,7.0,0.5,0.0
JP002326,CC[Si](CC)(CC)OCC(C)C,188.4,3.66,0.0,1.0,9.2,6.0,0.58,0.0
JP002325,CC(C)(C)C(C)(C)CCCO[SiH3],188.4,2.14,0.0,1.0,9.2,4.0,0.49,0.0
JP002324,C=C(CC(C)CC)O[Si](C)(C)C,186.4,3.79,0.0,1.0,9.2,5.0,0.47,1.0
JP002323,C=C(C)CC(CCCC)OC,156.3,3.16,0.0,1.0,9.2,6.0,0.54,1.0
JP002322,C=C(C)C(C)C(=O)C(C)(C)C,154.3,2.81,0.0,1.0,17.1,2.0,0.56,1.0
JP002321,C[Si](C)(C)OCc1ccccc1,180.3,3.04,0.0,1.0,9.2,3.0,0.65,0.0
JP002320,C=CCC1CCCC(C)C1=O,152.2,2.57,0.0,1.0,17.1,2.0,0.56,2.0
JP002319,C=CCC1(C)CCCCC1=O,152.2,2.71,0.0,1.0,17.1,2.0,0.56,1.0
JP002318,C=C(C)C1CC=C(C)CC1,136.2,3.31,0.0,0.0,0.0,1.0,0.49,1.0
JP002317,CC12CCCCC1=CC(=O)C2,150.2,2.47,0.0,1.0,17.1,0.0,0.52,1.0
JP002316,C=C(C)C(C)C(=O)c1ccco1,164.2,2.67,0.0,2.0,30.2,3.0,0.51,1.0
JP002314,C[Si](C)(C)/C=C/C[Si](C)(C)C,186.4,3.76,0.0,0.0,0.0,3.0,0.59,0.0
JP002313,CCCN(CCC)CCC,143.3,2.52,0.0,1.0,3.2,6.0,0.55,0.0
JP002312,CCCCCC(=O)O[Si](C)(C)C,188.3,2.94,0.0,2.0,26.3,5.0,0.49,0.0
JP002311,CCC(O[Si](C)(C)C)=C(C)C,172.3,3.54,0.0,1.0,9.2,3.0,0.47,0.0
JP002310,C=CCC(CCCC)OC,142.2,2.77,0.0,1.0,9.2,6.0,0.52,1.0
JP002309,C=CCC(OC)C(Br)CCC,221.1,3.14,0.0,1.0,9.2,6.0,0.49,2.0
JP002308,CC(=O)C1CC=C(C)CC1,138.2,2.32,0.0,1.0,17.1,1.0,0.51,1.0
JP002307,C[Si](C)(C)Oc1ccccc1Cl,200.7,3.55,0.0,1.0,9.2,2.0,0.66,0.0
JP002306,C=C1CCC(C(C)=O)CC1,138.2,2.32,0.0,1.0,17.1,1.0,0.51,0.0
JP002304,COC(OC)C1CCCC1=O,158.2,0.97,0.0,3.0,35.5,3.0,0.57,1.0
JP002302,CC1(C)CCCCC1=O,126.2,2.16,0.0,1.0,17.1,0.0,0.49,0.0
JP002301,CCC(C)CC(C)=O,114.2,2.01,0.0,1.0,17.1,3.0,0.55,1.0
JP002300,CC(=O)CC(C)CC=O,128.2,1.19,0.0,2.0,34.1,4.0,0.53,1.0
JP002299,C[Si](C)(C)OCCCl,152.7,2.08,0.0,1.0,9.2,3.0,0.44,0.0
JP002298,CC(I)CI,295.9,2.24,0.0,0.0,0.0,1.0,0.51,1.0
JP002296,CC(C)(C)c1cc(N([Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C)cc(C(C)(C)C)c1,433.9,9.1,0.0,1.0,3.2,3.0,0.43,0.0
JP002295,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,234.3,3.98,1.0,2.0,37.3,1.0,0.8,0.0
JP002290,CC[Si](C)(C)[Si](C)(C)CC,174.4,3.52,0.0,0.0,0.0,3.0,0.57,0.0
